MP-ID,Pretty Formula,Band gap,Energy above Hull,Composition,F-Block,Noble-Gas,Gravimetric Capacity,Unfit elements,Gaseous Compounds,ICSD_IDS,Experimental ICSD ID,Space Group Symbol,Crystal System
mp-1013726,Cd4SF6,1.8553,0.008442415454546,Cd4 S1 F6,0,0,269.934793987122,1,0,[],1,P4_2/nmc,tetragonal
mp-1025168,RuF6,0,0.00476732857143,Ru1 F6,0,0,747.696859320546,1,0,[],1,Im-3m,cubic
mp-1025221,Zn(NF2)2,1.7246,0.80572731214286,Zn1 N2 F4,0,0,949.142866381991,0,0,[],1,I4/mmm,tetragonal
mp-1025338,Tl2CuF4,0,0,Tl2 Cu1 F4,0,0,293.266784592597,0,0,[],1,I4/mmm,tetragonal
mp-1025502,TiCuF6,0.2007,0,Ti1 Cu1 F6,0,0,713.387581123259,0,0,[],1,P-1,triclinic
mp-1068795,NiNF3,0,1.458839502,Ni1 N1 F3,0,0,1239.82895369101,1,0,[402540],0,Pm-3m,cubic
mp-1069166,MnNF3,0,1.498063345,Mn1 N1 F3,0,0,1276.79893573663,0,0,"[43723, 79264]",0,Pm-3m,cubic
mp-1077866,BaZnBO3F,3.672,0.020340976428571,Ba1 Zn1 B1 O3 F1,0,0,573.172933425844,0,0,"[429814, 248042]",0,P-6,hexagonal
mp-1078939,MnNF3,0,1.119105342,Mn1 N1 F3,0,0,1276.79893573663,0,0,[66489],0,Pbam,orthorhombic
mp-1079023,Si(NF3)2,0,1.24655091277778,Si1 N2 F6,0,0,945.385640652268,0,0,"[38545, 19065, 23996]",0,Fm-3m,cubic
mp-1079140,Al(NF2)3,0,1.55450386125001,Al1 N3 F6,0,0,878.726661327266,0,0,"[33609, 24002]",0,Fm-3m,cubic
mp-1079200,SnNF3,0,1.339492194,Sn1 N1 F3,0,0,847.600977392723,0,0,[1452],0,R-3,trigonal
mp-1079413,Zn(OF)2,0,0.374095755999998,Zn1 O2 F2,0,0,1187.55191773151,0,0,[23468],0,Fddd,orthorhombic
mp-1079464,Fe(NF2)3,0,1.45989525625001,Fe1 N3 F6,0,0,759.007839905263,0,0,"[38151, 24001]",0,Fm-3m,cubic
mp-1080799,CuNF3,0,0.940048974500002,Cu1 N1 F3,0,0,1195.11332786994,0,0,[39720],0,Pm-3m,cubic
mp-10810,TiAgF6,0.2703,0.005325125625,Ti1 Ag1 F6,0,0,596.161389774279,0,0,[51506],0,P-1,triclinic
mp-1094067,ScF3,5.747,0.10847920875,Sc1 F3,0,0,1577.22639512384,0,0,[],1,Pnma,orthorhombic
mp-1095223,OF2,2.1259,0,O1 F2,0,0,2977.9869868784,0,1,[430183],0,Pnma,orthorhombic
mp-1097040,LiCoF2,0,0.395541111249999,Li1 Co1 F2,0,0,1548.07403252781,1,0,[],1,R-3m,trigonal
mp-1097048,LaCuO2F,0,0.31946191299999,La1 Cu1 O2 F1,1,0,634.447984950035,0,0,[],1,I4/mcm,tetragonal
mp-1101179,W5(O2F11)2,3.5499,0.014262318064519,W5 O4 F22,0,0,114.761851960034,0,0,[],1,I4_1/a,tetragonal
mp-1101202,V3O2F5,1.4527,0.084352802500002,V3 O2 F5,0,0,574.664754948582,0,0,[],1,Immm,orthorhombic
mp-1101283,VOF,1.133,0.064696628749999,V1 O1 F1,0,0,1871.08801226585,0,0,[],1,P-1,triclinic
mp-1101450,NbOF3,2.0897,0.088397977000001,Nb1 O1 F3,0,0,969.25280788078,0,0,[],1,Immm,orthorhombic
mp-1103472,Na2UF8,2.5957,0,Na2 U1 F8,1,0,368.810998663694,0,0,[165293],0,I4/mmm,tetragonal
mp-1103656,Nb2O2F3,0,0,Nb2 O2 F3,0,0,585.138423751552,0,0,[251694],0,C2/c,monoclinic
mp-1104201,ZnGe(OF)6,0,0.845911942857141,Zn1 Ge1 O6 F6,0,0,462.021410237651,0,0,[189056],0,R-3,trigonal
mp-1105132,BH2S3N3F4,2.3509,0.113379152930365,B1 H2 S3 N3 F4,0,0,708.258991539057,0,0,[201705],0,P1,triclinic
mp-1105197,Cs2PaF7,4.0373,0,Cs2 Pa1 F7,1,0,255.304715098846,0,0,[238100],0,C2/c,monoclinic
mp-1105350,H3CSNOF2,4.8047,0.390153876487361,H3 C1 S1 N1 O1 F2,0,0,1397.01659668923,0,0,[237988],0,P-1,triclinic
mp-1105787,Pb2OF2,0.8898,0.138745162499999,Pb2 O1 F2,0,0,343.299108325144,1,0,[],0,P-4m2,tetragonal
mp-1106088,Cs2Cu3SnF12,0,0.009280108888889,Cs2 Cu3 Sn1 F12,0,0,200.214223691046,0,0,"[291388, 291391]",0,R-3m,trigonal
mp-1106389,KBiF6,2.631,0.002578895625,K1 Bi1 F6,0,0,444.114097206885,0,0,[25025],0,P-4c2,tetragonal
mp-1111043,CsRb2NbF6,0,0.134383969249997,Cs1 Rb2 Nb1 F6,0,0,314.838619565159,0,0,[],1,Fm-3m,cubic
mp-1111050,Rb2AgAsF6,2.503,0.046477726333335,Rb2 Ag1 As1 F6,0,0,343.798506270407,1,0,[],1,Fm-3m,cubic
mp-1111065,Na2ScCuF6,0.1117,0.195890297625001,Na2 Sc1 Cu1 F6,0,0,598.945431950643,0,0,[],1,Fm-3m,cubic
mp-1111083,Na2InCuF6,0,0.183926867194447,Na2 In1 Cu1 F6,0,0,475.270058804044,0,0,[],1,Fm-3m,cubic
mp-1111105,K2NaCoF6,2.9932,0,K2 Na1 Co1 F6,0,0,586.625842512345,1,0,[],1,Fm-3m,cubic
mp-1111112,K2LiGaF6,6.133,0,K2 Li1 Ga1 F6,0,0,598.100764053194,0,0,[],1,Fm-3m,cubic
mp-1111115,K3NbF6,0,0.122768839950002,K3 Nb1 F6,0,0,496.002829180396,0,0,[],1,Fm-3m,cubic
mp-1111281,Li3TaF6,0,0.5001731442,Li3 Ta1 F6,0,0,509.245434470267,0,0,[],1,Fm-3m,cubic
mp-1111375,K3PrF6,5.5495,0.1185271485,K3 Pr1 F6,1,0,432.033953638692,0,0,[],1,Fm-3m,cubic
mp-1111506,Na2GaCuF6,0,0.151399140312502,Na2 Ga1 Cu1 F6,0,0,548.358244171656,0,0,[],1,Fm-3m,cubic
mp-1111550,NaLi2CoF6,3.085,0.263702463249998,Na1 Li2 Co1 F6,0,0,766.461098107668,1,0,[],1,Fm-3m,cubic
mp-1111594,K2RbTiF6,0,0.066458187999999,K2 Rb1 Ti1 F6,0,0,493.976103952666,0,0,[],1,Fm-3m,cubic
mp-1111644,RbAuF3,0,0.126595709999999,Rb1 Au1 F3,0,0,473.735968041531,1,0,[],1,Pm-3m,cubic
mp-1111671,K2LiInF6,5.3038,0,K2 Li1 In1 F6,0,0,512.189963133637,0,0,[],1,Fm-3m,cubic
mp-1111695,K3CrF6,4.4333,0,K3 Cr1 F6,0,0,567.633417165541,1,0,[],1,Fm-3m,cubic
mp-1111758,Na2ScAgF6,2.0718,0.167160176333333,Na2 Sc1 Ag1 F6,0,0,514.076242312964,0,0,[],1,Fm-3m,cubic
mp-1111792,NaLi2VF6,0,0.370598465416666,Na1 Li2 V1 F6,0,0,796.813979026633,0,0,[],1,Fm-3m,cubic
mp-1111815,NaLi2FeF6,4.1704,0.280821231527775,Na1 Li2 Fe1 F6,0,0,777.911988365892,0,0,[],1,Fm-3m,cubic
mp-1111890,Na3IrF6,2.0509,0.009651743999999,Na3 Ir1 F6,0,0,428.598013711165,1,0,[],1,Fm-3m,cubic
mp-1111916,K2NaTiF6,0,0,K2 Na1 Ti1 F6,0,0,611.305064184118,0,0,[],1,Fm-3m,cubic
mp-1111920,K2NaAuF6,0.6316,0.088203619000002,K2 Na1 Au1 F6,0,0,390.155505558046,1,0,[],1,Fm-3m,cubic
